+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|       Launch Clock       |      Capture Clock       |                                                 Pin                                                      |
+--------------------------+--------------------------+----------------------------------------------------------------------------------------------------------+
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[7]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[3]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[2]/D|
|                  eth_rxc |                  eth_rxc |                                                                            u_icmp/u_icmp_rx/skip_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                              u_udp/u_udp_rx/skip_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[6]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[4]/D|
|                  eth_rxc |                  eth_rxc |                                                              u_icmp/u_icmp_rx/reply_checksum_add_reg[0]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[5]/D|
|                  eth_rxc |                  eth_rxc |                                                                           u_icmp/u_icmp_rx/error_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                             u_arp/u_arp_rx/error_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[0]/D|
|                  eth_rxc |                  eth_rxc |                                                                 u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[1]/D|
|                  eth_rxc |                  eth_rxc |                                                                              u_arp/u_arp_rx/skip_en_reg/D|
|                  eth_rxc |                  eth_rxc |                                                                             u_icmp/u_icmp_rx/cnt_reg[1]/D|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[21]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[18]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[16]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[13]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[23]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[20]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[22]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[3]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[12]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[6]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[8]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[7]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[19]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[9]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                                        u_icmp/u_icmp_rx/des_ip_reg[17]/CE|
|                  eth_rxc |                  eth_rxc |                                                                         u_icmp/u_icmp_rx/des_ip_reg[1]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[17]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[29]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[22]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[15]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[4]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[10]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[11]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[14]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[26]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[27]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[28]/CE|
|                  eth_rxc |                  eth_rxc |                                                            u_icmp/u_icmp_rx/reply_checksum_add_reg[24]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[2]/CE|
|                  eth_rxc |                  eth_rxc |                                                             u_icmp/u_icmp_rx/reply_checksum_add_reg[0]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[5]/CE|
|                  eth_rxc |                  eth_rxc |                                                                u_icmp/u_icmp_rx/icmp_rx_data_d0_reg[7]/CE|
